Problem Names,-2,-1,False,True,acc
gpt_generated/test/competition/3949/expert.txt,0,0,23,0,0.00
gpt_generated/test/competition/3949/question.txt,0,0,23,0,0.00
gpt_generated/test/competition/3886/expert.txt,0,31,0,0,0.00
gpt_generated/test/competition/3886/question.txt,1,0,0,0,0.00
gpt_generated/test/competition/3823/expert.txt,1,0,0,0,0.00
gpt_generated/test/competition/3823/question.txt,0,0,42,0,0.00
gpt_generated/test/competition/3990/expert.txt,0,0,13,7,35.00
gpt_generated/test/competition/3990/question.txt,0,0,20,0,0.00
gpt_generated/test/competition/3929/expert.txt,0,0,23,3,11.54
gpt_generated/test/competition/3929/question.txt,0,0,23,3,11.54
gpt_generated/test/interview/2982/expert.txt,0,0,2,0,0.00
gpt_generated/test/interview/2982/question.txt,0,0,2,0,0.00
gpt_generated/test/interview/2879/expert.txt,0,0,3,0,0.00
gpt_generated/test/interview/2879/question.txt,1,0,0,0,0.00
gpt_generated/test/interview/2994/expert.txt,0,0,2,0,0.00
gpt_generated/test/interview/2994/question.txt,0,0,2,0,0.00
gpt_generated/test/interview/2812/expert.txt,0,0,3,0,0.00
gpt_generated/test/interview/2812/question.txt,0,0,3,0,0.00
gpt_generated/test/interview/0277/expert.txt,0,0,64,0,0.00
gpt_generated/test/interview/0277/question.txt,0,0,64,0,0.00
gpt_generated/test/competition/3945/expert.txt,0,0,22,1,4.35
gpt_generated/test/competition/3945/question.txt,0,0,22,1,4.35
gpt_generated/test/interview/2863/expert.txt,1,0,0,0,0.00
gpt_generated/test/interview/2863/question.txt,1,0,0,0,0.00
gpt_generated/test/interview/2835/expert.txt,1,0,0,0,0.00
gpt_generated/test/interview/2835/question.txt,0,0,1,2,66.67
gpt_generated/test/interview/2869/expert.txt,0,0,1,2,66.67
gpt_generated/test/interview/2869/question.txt,1,0,0,0,0.00
gpt_generated/test/interview/1282/expert.txt,0,0,12,8,40.00
gpt_generated/test/interview/1282/question.txt,1,0,0,0,0.00
